micro_market_id,country,region,city,district,lat,lng,population_index,affluence_index,construction_velocity_index,infrastructure_spend_index,industrial_cluster_index,retail_density_index,channel_mix_modern_pct,channel_mix_gt_pct,competitive_intensity_index,logistics_access_index,demand_proxy_index,growth_proxy_index,coverage_index_0_1,sell_in_proxy,sell_out_proxy,attractiveness_score_0_100,whitespace_score_0_100,recommended_distributor_count,current_distributor_count,distributor_gap,why_now,data_readiness_0_100
MM-IN-MUM-001,India,South,Mumbai,District-4,24.8688,83.1579,44,88,79,81,28,59,38,76,68,83,58,44,0.0,0.0,0.0,52.0,47.0,1,0,1,construction momentum | serviceability | low current coverage,100
MM-IN-BEN-002,India,West,Bengaluru,District-1,24.621,82.1066,77,54,93,88,74,42,43,32,31,74,78,92,0.0,0.0,0.0,66.7,66.0,2,0,2,strong demand | high growth | construction momentum | serviceability,100
MM-SA-RIY-003,Saudi,KSA,Riyadh,District-7,22.9637,43.1651,46,61,44,73,50,84,55,45,82,82,55,48,0.0,0.0,0.0,44.0,40.5,2,0,2,serviceability | low current coverage,100
MM-IN-BEN-004,India,North,Bengaluru,District-7,19.118,75.1985,79,71,75,80,52,66,26,35,70,60,66,79,0.76,0.0,0.0,57.4,13.0,1,1,0,high growth | construction momentum,100
MM-IN-MUM-005,India,West,Mumbai,District-7,22.4286,80.9473,41,59,43,56,79,45,22,44,42,73,66,80,0.0,0.0,0.0,50.5,49.8,1,0,1,high growth | serviceability | lower competition | low current coverage,100
MM-SA-JED-006,Saudi,KSA,Jeddah,District-6,23.2511,46.9542,48,36,35,76,52,40,45,37,72,59,54,49,0.87,0.0,0.0,34.2,4.4,1,1,0,balanced indicators,100
MM-UA-ABU-007,UAE,UAE,Abu Dhabi,District-3,23.4473,50.5259,88,84,75,47,87,80,55,52,40,36,88,59,0.0,0.0,0.0,57.6,64.1,2,0,2,strong demand | high growth | construction momentum | lower competition,100
MM-IN-DEL-008,India,South,Delhi,District-5,20.4477,81.2675,82,76,76,58,63,67,52,34,51,32,62,51,0.0,0.0,0.0,45.9,44.9,1,0,1,construction momentum | lower competition | low current coverage,100
MM-IN-DEL-009,India,West,Delhi,District-7,18.8272,81.4023,86,66,52,68,21,92,44,69,26,61,61,90,0.0,0.0,0.0,58.4,52.5,2,0,2,high growth | lower competition | low current coverage,100
MM-IN-MUM-010,India,North,Mumbai,District-8,21.7879,76.2716,66,59,31,83,82,39,47,35,70,48,72,77,0.0,0.0,0.0,48.9,51.6,1,0,1,strong demand | high growth | low current coverage,100
MM-SA-JED-011,Saudi,KSA,Jeddah,District-7,20.8619,48.0761,51,37,66,54,78,82,35,77,41,63,46,90,0.0,0.0,0.0,47.7,39.3,1,0,1,high growth | construction momentum | serviceability | lower competition,100
MM-IN-MUM-012,India,North,Mumbai,District-1,21.4808,87.878,84,76,87,88,56,50,58,63,48,36,78,47,0.0,0.0,0.0,55.1,58.5,1,0,1,strong demand | construction momentum | lower competition | low current coverage,100
MM-IN-BEN-013,India,South,Bengaluru,District-2,18.9821,85.2978,47,44,68,86,33,50,58,78,57,39,30,44,0.0,0.0,0.0,33.9,26.0,1,0,1,construction momentum | lower competition | low current coverage,100
MM-SA-RIY-014,Saudi,KSA,Riyadh,District-3,25.4213,39.3402,74,66,42,82,70,78,26,36,89,55,49,61,0.0,0.0,0.0,43.1,37.4,1,0,1,high growth | low current coverage,100
MM-UA-ABU-015,UAE,UAE,Abu Dhabi,District-6,25.8225,51.7187,86,36,66,71,27,39,40,78,64,90,82,60,0.57,0.0,0.0,52.5,25.1,2,1,1,strong demand | high growth | construction momentum | serviceability,100
MM-UA-ABU-016,UAE,UAE,Abu Dhabi,District-3,22.0713,50.6549,79,47,64,69,80,69,40,48,51,72,86,59,0.0,0.0,0.0,56.0,62.3,2,0,2,strong demand | high growth | serviceability | lower competition,100
MM-IN-JAK-017,Indonesia,Sumatra,Jakarta,District-7,0.5198,112.7141,45,38,68,39,77,50,27,76,32,48,39,37,0.0,0.0,0.0,29.7,25.4,1,0,1,construction momentum | lower competition | low current coverage,100
MM-IN-JAK-018,Indonesia,Sumatra,Jakarta,District-7,-6.0058,107.5718,69,72,55,50,55,86,62,32,33,45,46,67,0.0,0.0,0.0,45.3,37.8,1,0,1,high growth | lower competition | low current coverage,100
MM-IN-MUM-019,India,South,Mumbai,District-8,18.394,77.9778,45,80,33,90,26,84,65,78,80,80,71,80,0.0,0.0,0.0,60.6,58.8,2,0,2,strong demand | high growth | serviceability | low current coverage,100
MM-UA-ABU-020,UAE,UAE,Abu Dhabi,District-2,24.1443,53.0853,82,60,55,71,38,39,43,50,37,53,53,51,0.31,0.0,0.0,41.3,26.1,1,1,0,lower competition | low current coverage,100
MM-SA-RIY-021,Saudi,KSA,Riyadh,District-7,25.4859,41.2656,85,61,51,64,79,72,60,56,67,48,77,43,0.0,0.0,0.0,45.2,51.6,2,0,2,strong demand | low current coverage,100
MM-IN-BAN-022,Indonesia,Sumatra,Bandung,District-8,22.9859,107.1889,44,74,35,90,29,92,60,59,78,81,91,46,0.0,0.0,0.0,58.9,65.9,2,0,2,strong demand | serviceability | low current coverage,100
MM-UA-ABU-023,UAE,UAE,Abu Dhabi,District-5,22.3802,53.697,48,66,67,60,56,79,59,54,64,90,37,37,0.0,0.0,0.0,40.7,32.0,1,0,1,construction momentum | serviceability | low current coverage,100
MM-UA-DUB-024,UAE,UAE,Dubai,District-8,24.6315,52.5116,73,53,88,79,38,53,35,37,31,90,58,54,0.0,0.0,0.0,53.4,47.9,1,0,1,construction momentum | serviceability | lower competition | low current coverage,100
MM-IN-BAN-025,Indonesia,Java,Bandung,District-3,11.9078,114.4253,63,55,94,76,86,37,62,61,29,68,74,30,0.0,0.0,0.0,50.8,53.8,1,0,1,strong demand | construction momentum | serviceability | lower competition,100
MM-IN-SUR-026,Indonesia,Java,Surabaya,District-8,21.7144,108.6582,62,51,89,80,27,94,63,44,82,36,94,73,0.0,0.0,0.0,61.0,68.2,2,0,2,strong demand | high growth | construction momentum | low current coverage,100
MM-SA-RIY-027,Saudi,KSA,Riyadh,District-6,20.7235,47.8674,41,48,39,80,33,89,52,31,20,33,69,82,0.0,0.0,0.0,54.6,53.9,2,0,2,strong demand | high growth | lower competition | low current coverage,100
MM-IN-JAK-028,Indonesia,Java,Jakarta,District-7,-5.9397,113.2087,86,77,75,84,22,43,26,55,75,70,85,40,0.0,0.0,0.0,54.9,61.2,2,0,2,strong demand | construction momentum | serviceability | low current coverage,100
MM-IN-JAK-029,Indonesia,Sumatra,Jakarta,District-2,1.7473,112.3891,89,68,33,70,22,87,55,38,26,41,93,59,0.28,0.0,0.0,57.7,47.4,2,1,1,strong demand | high growth | lower competition | low current coverage,100
MM-UA-ABU-030,UAE,UAE,Abu Dhabi,District-4,24.5456,53.4345,87,51,67,75,65,91,27,55,50,60,37,38,0.0,0.0,0.0,39.9,31.5,1,0,1,construction momentum | lower competition | low current coverage,100
MM-IN-DEL-031,India,South,Delhi,District-7,20.4376,78.8465,71,57,56,44,61,50,21,50,55,44,67,66,0.0,0.0,0.0,42.8,45.3,1,0,1,strong demand | high growth | lower competition | low current coverage,100
MM-UA-ABU-032,UAE,UAE,Abu Dhabi,District-6,24.5918,53.9146,55,78,65,58,63,53,45,66,86,89,62,63,0.585,0.0,0.0,49.7,19.6,1,2,0,high growth | serviceability,100
MM-SA-JED-033,Saudi,KSA,Jeddah,District-4,22.5156,47.2112,45,38,84,33,39,51,28,45,75,30,83,85,0.0,0.0,0.0,48.2,56.1,1,0,1,strong demand | high growth | construction momentum | low current coverage,100
MM-SA-RIY-034,Saudi,KSA,Riyadh,District-3,21.2289,44.6092,45,55,92,94,74,50,54,65,49,71,30,43,0.0,0.0,0.0,43.3,32.1,1,0,1,construction momentum | serviceability | lower competition | low current coverage,100
MM-IN-SUR-035,Indonesia,Sumatra,Surabaya,District-2,-2.0274,113.5267,89,65,84,94,29,59,39,34,76,58,60,39,0.0,0.0,0.0,46.9,44.6,1,0,1,construction momentum | low current coverage,100
MM-SA-RIY-036,Saudi,KSA,Riyadh,District-6,27.2568,38.4911,54,61,68,62,25,45,62,61,68,73,79,33,0.0,0.0,0.0,46.3,53.2,2,0,2,strong demand | construction momentum | serviceability | low current coverage,100
MM-IN-MUM-037,India,South,Mumbai,District-8,22.3162,77.4153,64,77,85,62,83,68,62,47,57,64,36,55,0.0,0.0,0.0,44.9,34.5,1,0,1,construction momentum | serviceability | lower competition | low current coverage,100
MM-IN-BAN-038,Indonesia,Sumatra,Bandung,District-1,14.71,107.5976,49,36,90,59,41,68,20,43,72,71,93,70,0.62,0.0,0.0,57.7,25.0,2,1,1,strong demand | high growth | construction momentum | serviceability,100
MM-SA-JED-039,Saudi,KSA,Jeddah,District-4,26.0915,47.9366,76,87,80,86,27,77,42,57,69,93,93,48,0.0,0.0,0.0,66.4,71.4,2,0,2,strong demand | construction momentum | serviceability | low current coverage,100
MM-IN-BAN-040,Indonesia,Sumatra,Bandung,District-6,4.4737,107.1148,42,77,61,94,52,93,40,69,26,66,82,90,0.0,0.0,0.0,72.3,71.3,2,0,2,strong demand | high growth | serviceability | lower competition,100
MM-SA-JED-041,Saudi,KSA,Jeddah,District-8,20.2958,42.0997,45,72,76,80,80,78,60,32,37,70,85,30,0.0,0.0,0.0,59.1,63.9,2,0,2,strong demand | construction momentum | serviceability | lower competition,100
